"RabbitMQ event Welcome","rabbit", "2026"
"People are looking curious","rabbit", "2026"
"PostgresML with Spring AI is AWESOME","postgres", "2027"
"Hmmm, Postgres as a NoSQL Document Database, interesting","postgres", "2027"
"Maybe someone was thinking about rabbit before the typewriter","rabbit", "1868"
"One person left as soon as Gregory said Hello, my name","rabbit", "2026"
"RabbitMQ Started on Mac","rabbit", "2026"
"People wondering why am I here","rabbit", "2026"
"Cool, dataflow for agentic Spring AI applications","dataflow", "2027"
"RabbitMQ Demo started","rabbit", "2026"
"Someone smiled when noticing some of the events","rabbit", "2026"
"Look MOM, I found a typo!!!","rabbit", "2026"
"GemFire for mission critical Spring Application data access at scale","gemfire", "2027"
"Why Use Tanzu for Valkey for Fast, Modern Spring Data Caching ", "valkey", "2027"
"Cora has an AMAZING talk for Low Latency AI/ML","gemfire", "2027"
"Let's make it happen for Spring Cloud Stream and Spring Batch Applications","dataflow", "2027"
"I don't mean to be rude, but Rabbit Streams just posted 17million msgs/sec :>","kafka", "2021"
